,Comment
1096,"Previous i was using samsung note 9 has some advantage like samsung pay and water proof, this phone dont have that function rest all is awesome"
1097,"Purchased it on the day it got launched...very nice phone, especially the fluid display. One Plus again showed why it's called Flagship Killer."
1098,Rest everything about the phone is greatJust that the almond colour is not worth paying 5k moreBlack /grey woyod b btrI love the phone
1099,Not satisfied with the product.Phone restarts unexpectedly and heating problem also persists. This is a new phone and have used only for 15 days .
1100,Nice product and speedy and UI is awesome
1101,Everething is good but there is no Microsoft apps 😕
1102,"Alas! Such an expensive and premium Phone does not have wireless charging, no headphones, 50 grand.Deeply saddening."
1103,It takes 3 hrs more to full the battery and battery backup is also bad....
1104,Battery drain really fast because of it 2k oled display but it's the best phone I ever bought I recommend u to buy if u want to buy phone near 50k
1105,"Great camera,awsum display 90hz is very smooth ,great specs"
1106,fingerprint sensor is not good .Wrap charger doesn't work. My phone got fully charged in 3 hrs.And I miss notification lights as in 3T
1107,"I m using ONEPLUS MOBILE'S from since ONEPLUSONE, ONEPLUS 3, ONEPLUS 3T, ONEPLUS 5, ONEPLUS 6, ONEPLUS 6T, AND NOW 😍 ONEPLUS 7PRO AMAZING PHONE."
1108,"Camera and display are awesome, sounds quality is also clear and clean. Perfect phone, they Never Settle, Flagship 2019."
1109,Awesome phone with a 90hz refresh rate screen. 🔥
1110,"The phone is overall a great product, the camera has improved a lot after updates, sometimes had issues with fingerprint reader,but still a good phone"
1111,The best screen and ram so far.
1112,No headphone...have to buy seperatly for another 6000rs
1113,Nothing to dislike in this only thing is it's to slippery u have to hold firmly camera battery charging fingerprint reader everything is just too fast
1114,Excellent phone... Camera is incomparable... I strongly recommend this phone... Great one...
1115,"One of the best Android smartphone love to use , I have everything is features which I want."
1116,Best phone. Fastest processor amongst Android phones. AMOLED display takes the viewing experience to another level.
1117,"Camera can be more better in potraite mode.when you click in potraite mode,blury effect comes around body and face.battery is as always excellent."
1118,Needs improvements
1119,Very good ...Just enjoying
1120,Very nice phone
1121,Excellent I am happy
1122,Best as usual
1123,Battery is draining very fast and some times lagging and also touch not responding some times
1124,"Good quality,right purchase"
1125,"Very best,  good working"
1126,Good one... Should be priced less than 48k
1127,"Display is awesome,Fingerprint works fast,But camera and battery life is jst okok"
1128,Front camera is not so good..... Nd battery drains tooo fast...
1129,after little time felt wastage of money
1130,Best display
1131,Best value for money phone in the market. The screen is very smooth and it runs without any lags.
1132,Great product
1133,Finger print reader is fast and camara quality is superb
1134,Best handset...Enough........... No words behind...Lite battery issue.. for gamer buddy
1135,Very wonderful phone... OnePlus has done a amazing job.. totally loved this phone
1136,Okay Chinese phone
1137,Beast of all
1138,Awsm mobile its great experience to use this mobile display was amaging but camera was worst not worth it
1139,Really good phone. Cameras are just acceptable. Display and performance are simply wow! 😍
1140,"WaitEd for purchase oneplus finally the got 7pro, satisfaction greater than expected.Except average battery performance."
1141,Product quality not good. Camera is worst than 15k mobiles speaker is not good . Some times lag don't know why.
1142,Very good phone......But guys if possible go for 8gb or uper modelI bought 6gb one and I feel I should have gone for 8gbAnd there r no complaints about this one👍
1143,Good
1144,Perfect
1145,Wrap charger not working within three month..mobile is good superab
